Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_1,Chrome 129.0.0.0,,,17-10-2024 16:36:23,17-10-2024 16:37:28,1m - 4.707s,PASSED
,,,,,,,
Test Cases/Custom-keyword samples/Order and check out a single product,Chrome 129.0.0.0,,,17-10-2024 16:36:24,17-10-2024 16:37:28,1m - 4.386s,PASSED
sample.Login.loginIntoApplicationWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:36:24,17-10-2024 16:36:38,13.833s,PASSED
delay(1),Chrome 129.0.0.0,,,17-10-2024 16:36:38,17-10-2024 16:36:39,1.081s,PASSED
"waitForElementPresent(findTestObject(""Pages/Shop page/lnkShop""), waitPresentTimeout)",Chrome 129.0.0.0,,,17-10-2024 16:36:39,17-10-2024 16:36:40,0.390s,PASSED
"click(findTestObject(""Pages/Shop page/lnkShop""))",Chrome 129.0.0.0,,,17-10-2024 16:36:40,17-10-2024 16:36:42,2.355s,PASSED
sample.Shop.addToCartWithGlobalVariable(),Chrome 129.0.0.0,,,17-10-2024 16:36:42,17-10-2024 16:36:50,8.125s,PASSED
"sample.Checkout.CheckoutShop(firstName, lastName, companyName, country, address, city, postCode, Phone)",Chrome 129.0.0.0,,,17-10-2024 16:36:50,17-10-2024 16:37:22,31.628s,PASSED
sample.Login.logoutFromApplication(),Chrome 129.0.0.0,,,17-10-2024 16:37:22,17-10-2024 16:37:28,5.950s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,17-10-2024 16:37:28,17-10-2024 16:37:28,0.332s,PASSED
